,試合日,チーム名,スコア,攻撃,パス,クロス,ドリブル,シュート,ゴール,奪取,守備,セーブ,攻撃回数,シュート,チャンス構築率,ゴール,成功率,被攻撃回数,被シュート,被チャンス構築率,被ゴール,被成功率,ゴール期待値,ゴール,被ゴール期待値,被ゴール,総移動距離,相手との移動距離差,スプリント数,相手とのスプリント数差,ゴール,シュート,枠内シュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入
away,2021-3-17-19:00,清水,0,11.47,9.08,1.53,0.86,5.89,2.59,79.62,14.75,0.49,106.3,11.3,10.6%,1.0,8.5%,110.7,12.3,11.2%,1.4,11.3%,1.137,1.0,1.205,1.4,118.300km,0.989km,160.0,-1.0,1.0,11.3,3.4,408.7,13.1,9.8,1.0,3.8,21.6,9.3,14.6,27.1,2.0,1.1,0.6,0.0,28.8,8.8
home,2021-5-15-16:00,広島,0,16.63,13.16,1.70,1.77,7.13,3.25,98.65,13.09,0.22,121.0,13.5,11.2%,1.1,8.0%,119.4,9.5,7.9%,1.0,10.1%,1.389,1.1,1.016,1.0,116.732km,-1.146km,178.5,1.3,1.1,13.5,4.3,499.2,15.0,10.4,1.5,5.7,23.8,13.7,18.5,18.3,1.8,2.1,0.6,0.0,45.7,13.2
away,2021-5-15-16:00,徳島,1,13.5,11.6,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.1840000000000002,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
home,2021-7-3-19:00,広島,1,16.63,13.16,1.70,1.77,7.13,3.25,98.65,13.09,0.22,121.0,13.5,11.2%,1.1,8.0%,119.4,9.5,7.9%,1.0,10.1%,1.389,1.1,1.016,1.0,116.732km,-1.146km,178.5,1.3,1.1,13.5,4.3,499.2,15.0,10.4,1.5,5.7,23.8,13.7,18.5,18.3,1.8,2.1,0.6,0.0,45.7,13.2
away,2021-7-3-19:00,鳥栖,1,14.7,12.18,1.33,1.18,6.16,4.09,91.13,14.79,0.47,113.1,11.3,10.0%,1.3,11.9%,115.6,11.1,9.6%,0.6,5.5%,1.149,1.3,1.0659999999999998,0.6,125.217km,4.867km,175.3,-10.5,1.3,11.3,3.6,532.7,11.0,9.0,1.6,4.0,21.5,9.2,17.6,22.0,1.8,2.3,1.0,0.1,37.7,9.9
home,2021-4-7-19:00,徳島,1,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-4-7-19:00,仙台,0,11.52,8.91,1.56,1.05,5.99,2.21,90.56,16.26,0.62,118.0,10.8,9.1%,0.8,7.3%,119.0,14.1,11.9%,1.5,10.8%,1.008,0.8,1.521,1.5,116.140km,0.696km,168.6,-7.5,0.8,10.8,3.6,402.8,13.1,9.1,1.4,4.0,22.9,11.0,18.0,25.6,2.0,1.0,1.2,0.0,31.5,9.3
home,2021-4-17-14:00,徳島,0,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-4-17-14:00,鹿島,1,15.79,12.9,1.77,1.13,7.78,4.53,100.66,12.09,0.35,128.1,14.5,11.3%,1.6,11.1%,126.9,8.8,6.9%,1.0,11.4%,1.501,1.6,0.9490000000000001,1.0,117.214km,1.814km,194.3,9.6,1.6,14.5,5.0,468.7,15.7,9.9,2.3,6.1,28.4,9.7,18.1,17.8,1.4,1.6,1.4,0.1,43.2,13.2
home,2021-6-23-19:00,徳島,0,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
